"Occupation Title","Occupation Code","Employment 2023","Employment 2033","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupational Openings, 2023-2033 Annual Average","Median Annual Wage 2023","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Computer user support specialists    * Computer Customer Support Specialist* Computer Help Desk Representative* Computer Help Desk Specialist* End-User Support Specialist* Help Desk Analyst* Help Desk Technician* IT Support Specialist* PC Support Specialist","=""15-1232""","725.3","762.5","37.2","5.1","50.6","59,240","Some college, no degree","6","None","4","Moderate-term on-the-job training","4"
"Computer, automated teller, and office machine repairers    * ATM Servicer* Cash Register Servicer* Computer Repair Technician* Computer Repairer* Computer Service Technician* Copier Technician* Copying Machine Repairer* Data Processing Equipment Repairer* Photocopying Equipment Repairer* Printer Repair Technician","=""49-2011""","85.7","84.0","-1.7","-2.0","8.2","45,760","Some college, no degree","6","None","4","Short-term on-the-job training","5"
"Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter","=""17-3012""","23.2","24.2","1.0","4.1","2.2","69,260","Associate's degree","4","None","4","None","6"
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","=""17-2072""","98.7","107.6","8.9","9.1","6.5","119,200","Bachelor's degree","3","None","4","None","6"
"Information security analysts    * Computer Security Specialist* Computer Systems Security Analyst* IT Risk Specialist* Information Security Analyst* Information Systems Security Analyst* Network Security Analyst","=""15-1212""","180.7","239.8","59.1","32.7","17.3","120,360","Bachelor's degree","3","Less than 5 years","2","None","6"
"Network and computer systems administrators    * LAN Administrator* LAN Systems Administrator* Local Area Network Administrator* Network Analyst* Network Coordinator* Network Support Coordinator* Network Support Manager* Network Systems Administrator* Network Systems Coordinator* WAN Systems Administrator* Wide Area Network Administrator","=""15-1244""","335.4","326.6","-8.8","-2.6","16.4","95,360","Bachelor's degree","3","None","4","None","6"
"Office machine operators, except computer    * Business Machine Operator* Coin Machine Operator* Coin Rolling Machine Operator* Coin Wrapping Machine Operator* Collator Operator* Copy Center Operator* Copy Machine Operator* Duplicating Machine Operator* Scanning Equipment Operators","=""43-9071""","29.2","24.8","-4.4","-15.1","3.2","37,450","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Software developers    * Application Integration Engineer* Applications Developer* Computer Applications Developer* Computer Applications Engineer* Computer Systems Engineer* Computer Systems Software Architect* Computer Systems Software Engineer* Embedded Systems Software Developer* Enterprise Systems Engineer* Mobile Applications Developer* Software Applications Architect* Software Applications Designer* Software Applications Engineer* Software Engineer* Software Systems Engineer* Systems Software Designer* Systems Software Developer* Systems Software Specialist","=""15-1252""","1,692.1","1,995.7","303.7","17.9","125.1","132,270","Bachelor's degree","3","None","4","None","6"
"Training and development specialists    * Computer Software Training Specialist* Computer Training Specialist* Corporate Trainer* Employee Development Specialist* Insurance Employee Trainer* Job Training Specialist* Training Coordinator* Training Specialist","=""13-1151""","420.1","468.6","48.5","11.5","42.2","64,340","Bachelor's degree","3","Less than 5 years","2","None","6"
"Woodworking machine setters, operators, and tenders, except sawing    * Computer Numerically Controlled (CNC) Wood Lathe Operator* Roof Truss Builder* Speed Belt Sander* Tenon Operator* Wood Boring Machine Operator* Wood Dowel Machine Operator* Wood Lathe Operator* Wood Planer","=""51-7042""","60.6","59.3","-1.3","-2.2","6.2","38,260","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
